#Meta data {
#Description="Threshold Checking"
#} MetaData
Observation ID,PLW 99S,PLW Pix > 20,PLW PASS,PMW 99S,PMW Pix > 20,PMW PASS,PSW 99S,PSW Pix > 20,PSW PASS,Total Pass
Integer,Float,Float,Integer,Float,Float,Integer,Float,Float,Integer,Integer
,,,,,,,,,,
,,,,,,,,,,
1342187324,1.544689,0.0,0,3.302284,22.0,0,5.368466,96.0,0,0
1342185538,4.9603953,0.0,0,12.09769,93.0,0,23.652891,5183.0,1,1
1342233322,6.00256,0.0,0,13.900755,0.0,0,23.750578,3004.0,1,1
1342213476,3.6025243,0.0,0,8.890944,17.0,0,16.114264,185.0,0,0
1342189440,2.402813,8.0,0,5.4393764,108.0,0,9.878036,519.0,1,1
1342229203,12.468395,1.0,0,30.491297,7025.0,1,55.250042,18687.0,1,2
1342214757,15.163777,4.0,0,36.29326,38157.0,1,65.81697,133572.0,1,2
1342188664,11.905457,73.0,0,33.912518,1195.0,1,82.006714,5800.0,1,2
1342245133,341.92053,3487.0,1,845.862,7188.0,1,1827.0253,18988.0,1,3
1342219971,33.59364,7204.0,1,75.66857,17384.0,1,124.30833,46644.0,1,3
1342195987,50.689064,569.0,1,115.10169,4133.0,1,188.88249,23310.0,1,3
1342203576,40.667877,4256.0,1,109.25336,8781.0,1,232.5222,23248.0,1,3
1342270327,286.3034,4207.0,1,631.4987,8780.0,1,955.6306,23216.0,1,3
1342211354,104.792435,4320.0,1,268.59357,8865.0,1,532.80396,23355.0,1,3
1342229181,95.77299,4254.0,1,252.21338,8714.0,1,509.04007,23193.0,1,3
1342192061,826.688,10508.0,1,2273.439,21334.0,1,4768.084,57456.0,1,3
1342229177,195.30678,10031.0,1,512.72614,20378.0,1,1001.8685,54945.0,1,3
